ITER_PAIR	CORR_VAL
1	1
2	-1
3	0
4	-1
5	0
6	1
7	0
8	-1
9	0
10	0
11	0
12	0
13	1
14	1
15	0
16	-1
17	-1
18	-1
19	1
20	0
21	-1
22	0
23	0
24	0
25	0
26	0
27	1
28	0
29	0
30	0
31	0
32	0
33	1
34	-1
35	0
36	1
37	1
38	0
39	-1
40	1
41	1
42	1
43	0
44	0
45	0
46	1
47	0
48	0
49	0
50	0
51	0
52	-1
53	0
54	0
55	-1
56	-1
57	0
58	-1
59	0
60	0
61	0
62	1
63	0
64	0
65	1
66	0
67	0
68	0
69	1
70	1
71	1
72	-1
73	-1
74	1
75	1
76	0
77	-1
78	0
79	1
80	1
81	-1
82	-1
83	0
84	1
85	1
86	0
87	-1
88	0
89	1
90	1
91	0
92	0
93	0
94	1
95	1
96	1
97	-1
98	-1
99	1
100	1
101	0
102	-1
103	0
104	1
105	0
106	0
107	-1
108	-1
109	0
110	0
111	0
112	0
113	1
114	0
115	-1
116	0
117	0
118	1
119	0
120	0
121	-1
122	0
123	1
124	0
125	0
126	-1
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	-1
135	0
136	0
137	1
138	0
139	-1
140	0
141	0
142	0
143	0
144	0
145	0
146	-1
147	0
148	-1
149	-1
150	-1
151	0
152	1
153	1
154	0
155	0
156	0
157	0
158	-1
159	0
160	1
161	1
162	0
163	0
164	1
165	0
166	0
167	0
168	0
169	0
170	0
171	-1
172	0
173	0
174	1
175	0
176	0
177	1
178	0
179	0
180	0
181	1
182	1
183	1
184	-1
185	0
186	1
187	1
188	0
189	0
190	1
191	0
192	0
193	0
194	0
195	0
196	1
197	-1
198	-1
199	1
200	1
201	0
202	-1
203	0
204	0
205	0
206	0
207	0
208	1
209	0
210	0
211	0
212	1
213	1
214	0
215	-1
216	0
217	1
218	1
219	0
220	0
221	1
222	0
223	0
224	0
225	0
226	0
227	1
228	0
229	0
230	0
231	1
232	0
233	-1
234	0
235	0
236	1
237	0
238	0
239	0
240	-1
241	1
242	1
243	0
244	0
245	0
246	1
247	-1
248	-1
249	0
250	1
251	0
252	-1
253	0
254	0
255	1
256	0
257	0
258	-1
259	0
260	1
261	1
262	0
263	0
264	0
265	1
266	0
267	0
268	-1
269	1
270	0
271	-1
272	0
273	0
274	0
275	0
276	0
277	-1
278	0
279	0
280	-1
281	-1
282	-1
283	-1
284	0
285	0
286	0
287	0
288	0
289	0
290	-1
291	0
292	1
293	1
294	0
295	0
296	1
297	0
298	0
299	0
300	1
301	1
302	-1
303	0
304	0
305	0
306	1
307	0
308	-1
309	0
310	0
311	1
312	0
313	0
314	0
315	-1
316	0
317	-1
318	-1
319	0
320	0
321	1
322	1
323	0
324	0
325	0
326	0
327	-1
328	0
329	0
330	-1
331	-1
332	-1
333	0
334	1
335	1
336	0
337	0
338	0
339	0
340	-1
341	0
342	1
343	0
344	0
345	-1
346	-1
347	1
348	1
349	1
350	1
351	0
352	0
353	-1
354	0
355	0
356	1
357	0
358	1
359	1
360	0
361	1
362	0
363	0
364	0
365	1
366	0
367	0
368	0
369	0
370	0
371	-1
372	1
373	-1
374	0
375	0
376	0
377	1
378	0
379	0
380	0
381	1
382	0
383	0
384	1
385	0
386	1
387	0
388	0
389	0
390	-1
391	1
392	1
393	0
394	0
395	0
396	1
397	-1
398	0
399	0
400	1
401	0
402	0
403	1
404	0
405	1
406	0
407	0
408	0
409	-1
410	1
411	1
412	0
413	0
414	0
415	1
416	0
417	0
418	1
419	1
420	0
421	0
422	1
423	0
424	0
425	0
426	1
427	1
428	-1
429	0
430	-1
431	0
432	1
433	0
434	1
435	1
436	0
437	1
438	0
439	0
440	-1
441	0
442	1
443	1
444	0
445	0
446	0
447	1
448	0
449	0
450	1
451	1
452	0
453	-1
454	0
455	0
456	0
457	0
458	0
459	1
460	0
461	-1
462	-1
463	-1
464	0
465	0
466	-1
467	0
468	0
469	1
470	0
471	1
472	1
473	0
474	1
475	0
476	-1
477	0
478	-1
479	0
480	0
481	0
482	1
483	0
484	1
485	1
486	0
487	1
488	0
489	0
490	0
491	-1
492	0
493	-1
494	-1
495	0
496	0
497	1
498	1
499	0
500	0
501	0
502	0
503	-1
504	0
505	0
506	-1
507	-1
508	0
509	0
510	-1
511	0
512	0
513	1
514	0
515	1
516	1
517	0
518	1
519	0
520	-1
521	0
522	-1
523	0
524	0
525	0
526	1
527	0
528	-1
529	0
530	0
531	0
532	0
533	1
534	1
535	1
536	-1
537	-1
538	1
539	1
540	0
541	-1
542	0
543	0
544	0
545	0
546	0
547	1
548	0
549	0
550	0
551	0
552	0
553	0
554	-1
555	0
556	1
557	-1
558	0
559	0
560	-1
561	0
562	-1
563	0
564	1
565	0
566	-1
567	0
568	0
569	0
570	0
571	0
572	1
573	0
574	0
