ITER_PAIR	CORR_VAL
1	1
2	-1
3	1
4	-1
5	-1
6	-1
7	0
8	-1
9	0
10	-1
11	1
12	0
13	0
14	-1
15	0
16	0
17	0
18	-1
19	0
20	0
21	0
22	-1
23	0
24	0
25	-1
26	0
27	-1
28	0
29	-1
30	1
31	-1
32	1
33	0
34	-1
35	-1
36	-1
37	0
38	1
39	1
40	-1
41	0
42	0
43	-1
44	0
45	0
46	0
47	-1
48	0
49	-1
50	0
51	-1
52	-1
53	-1
54	0
55	-1
56	0
57	1
58	-1
59	-1
60	0
61	-1
62	0
63	1
64	0
65	-1
66	0
67	1
68	1
69	-1
70	0
71	1
72	0
73	0
74	0
75	-1
76	0
77	-1
78	0
79	-1
80	0
81	-1
82	1
83	-1
84	0
85	1
86	0
87	-1
88	-1
89	0
90	1
91	-1
92	0
93	1
94	0
95	-1
96	-1
97	-1
98	0
99	-1
100	-1
101	0
102	0
103	0
104	-1
105	-1
106	-1
107	0
108	-1
109	1
110	-1
111	-1
112	1
113	0
114	-1
115	0
116	-1
117	1
118	-1
119	0
120	-1
121	-1
122	0
123	1
124	-1
125	0
126	0
127	0
128	-1
129	0
130	0
131	0
132	-1
133	0
134	0
135	0
136	-1
137	0
138	1
139	-1
140	-1
141	0
142	0
143	-1
144	-1
145	0
146	-1
147	0
148	0
149	1
150	1
151	0
152	-1
153	0
154	-1
155	-1
156	0
157	-1
158	0
159	-1
160	0
161	-1
162	0
163	0
164	0
165	0
166	-1
167	-1
168	0
169	-1
170	0
171	1
172	-1
173	0
174	1
175	-1
176	-1
177	1
178	-1
179	-1
180	-1
181	1
182	0
183	0
184	1
185	1
186	1
187	1
188	1
189	1
190	0
191	-1
192	1
193	1
194	-1
195	0
196	1
197	1
198	1
199	1
200	0
201	1
202	0
203	0
204	-1
205	0
206	1
207	1
208	1
209	1
210	-1
211	0
212	0
213	1
214	-1
215	-1
216	-1
217	1
218	1
219	0
220	0
221	1
222	-1
223	1
224	1
225	-1
226	-1
227	-1
228	0
229	1
230	0
231	-1
232	-1
233	0
234	1
235	0
236	-1
237	0
238	-1
239	0
240	1
241	0
242	-1
243	-1
244	1
245	0
246	-1
247	0
248	1
249	0
250	-1
251	0
252	1
253	0
254	-1
255	1
256	1
257	1
258	-1
259	1
260	1
261	1
262	1
263	1
264	1
265	1
266	1
267	0
268	-1
269	1
270	1
271	0
272	-1
273	1
274	1
275	-1
276	0
277	1
278	0
279	0
280	-1
281	-1
282	-1
283	1
284	0
285	0
286	0
287	-1
288	-1
289	-1
290	0
291	-1
292	1
293	1
294	0
295	1
296	1
297	0
298	-1
299	-1
300	-1
301	-1
302	-1
303	-1
304	1
305	0
306	-1
307	1
308	-1
309	-1
310	0
311	1
312	0
313	-1
314	-1
315	1
316	-1
317	-1
318	-1
319	-1
320	1
321	-1
322	-1
323	0
324	-1
325	-1
326	1
327	0
328	-1
329	-1
330	-1
331	-1
332	-1
333	1
334	0
335	1
336	1
337	1
338	0
339	1
340	0
341	-1
342	1
343	1
344	-1
345	0
346	0
347	-1
348	0
349	1
350	-1
351	1
352	0
353	-1
354	-1
355	1
356	-1
357	0
358	0
359	-1
360	0
361	0
362	-1
363	1
364	-1
365	0
366	1
367	1
368	1
369	0
370	-1
371	-1
372	0
373	-1
374	-1
375	0
376	-1
377	0
378	1
379	-1
380	0
381	-1
382	-1
383	-1
384	1
385	-1
386	1
387	1
388	-1
389	0
390	1
391	-1
392	0
393	-1
394	-1
395	1
396	-1
397	0
398	0
399	1
400	-1
401	-1
402	-1
403	0
404	-1
405	0
406	1
407	1
408	1
409	-1
410	-1
411	1
412	-1
413	-1
414	-1
415	0
416	0
417	1
418	0
419	-1
420	1
421	0
422	-1
423	0
424	-1
425	-1
426	-1
427	0
428	-1
429	1
430	0
431	-1
432	0
433	-1
434	-1
435	1
436	1
437	-1
438	-1
439	0
440	1
441	0
442	-1
443	-1
444	1
445	0
446	-1
447	1
448	-1
449	0
450	1
451	-1
452	-1
453	0
454	-1
455	-1
456	1
457	0
458	-1
459	-1
460	1
461	-1
462	0
463	1
464	1
465	0
466	1
467	0
468	-1
469	-1
470	-1
471	-1
472	-1
473	1
474	-1
475	0
476	1
477	0
478	-1
479	0
480	1
481	-1
482	0
483	1
484	1
485	1
486	1
487	0
488	-1
489	1
490	0
491	-1
492	1
493	-1
494	-1
495	-1
496	-1
497	-1
498	0
499	1
500	1
501	1
502	1
503	0
504	-1
505	1
506	0
507	-1
508	0
509	-1
510	-1
511	-1
512	0
513	-1
514	0
515	1
516	1
517	1
518	0
519	-1
520	-1
521	1
522	1
523	1
524	1
525	1
526	0
527	1
528	0
529	-1
530	1
531	0
532	-1
533	0
534	1
535	-1
536	-1
537	1
538	-1
539	0
540	1
541	1
542	1
543	1
544	0
